Date,Close,Open,High,Low,Volume,Market Cap
03-10-2020,773504.22,775393.87,777141.9,770703.36,3.27E+12,1.43E+13
04-10-2020,782322.08,773585.74,783525.31,772409,5.22E+12,1.45E+13
05-10-2020,789166.35,782831.41,789178.66,778878.15,3.49E+12,1.46E+13
06-10-2020,780679.39,789383.31,789476.26,774550.4,3.12E+12,1.44E+13
07-10-2020,782445.11,780602.06,783414.74,777823.02,2.78E+12,1.45E+13
08-10-2020,799923.28,782474.61,802546.35,773526.03,4.64E+12,1.48E+13
09-10-2020,807276.1,800819.31,810357.82,793712.77,1.67E+12,1.50E+13
10-10-2020,824196.09,806888.32,834837.45,806727.65,1.67E+12,1.53E+13
11-10-2020,831216.66,824175.68,833859.97,823631.82,1.46E+12,1.54E+13
12-10-2020,847598,831833.95,858097.16,824034.5,1.91E+12,1.56E+13
13-10-2020,838872.97,847110.72,847133.61,831402.9,1.78E+12,1.55E+13
14-10-2020,837731.94,839104.12,845284.33,828964.63,1.77E+12,1.55E+13
15-10-2020,843431.05,837519.06,848900.8,830131.01,1.79E+12,1.56E+13
16-10-2020,831547.75,843979.75,846780.89,823297.91,1.88E+12,1.54E+13
17-10-2020,834190.2,831547.75,836258.4,828846.67,1.41E+12,1.54E+13
18-10-2020,843384.5,834034.55,843384.5,833417.35,1.34E+12,1.56E+13
19-10-2020,861833.82,844242.2,865449.42,837054.76,1.75E+12,1.60E+13
20-10-2020,875624.84,862122.85,881447.98,856953.37,2.27E+12,1.62E+13
21-10-2020,945436.74,875385.47,971858.1,874730.84,3.19E+12,1.75E+13
22-10-2020,955938.86,943810.81,969913.41,937535.92,2.56E+12,1.77E+13
23-10-2020,954789.19,956355.95,958655.43,941559.17,2.14E+12,1.77E+13
24-10-2020,967822.66,954791.77,970554.83,951408.15,1.81E+12,1.79E+13
25-10-2020,962171.17,967822.7,984148.97,953203.39,1.80E+12,1.78E+13
26-10-2020,966898.37,962173.16,978685.3,948453,2.18E+12,1.79E+13
27-10-2020,1007752.88,966897.98,1015658.94,965728.06,2.50E+12,1.87E+13
28-10-2020,984616.57,1007752.59,1019734.37,957976.64,2.65E+12,1.81E+13
29-10-2020,998199.56,984617.58,1012870.45,963510.36,4.19E+12,1.85E+13
30-10-2020,1010758.28,998198.84,1016995.64,980091.74,2.27E+12,1.86E+13
31-10-2020,1028253.17,1010759.05,1046699.18,1004118.21,2.26E+12,1.91E+13
01-11-2020,1025276.03,1028253.18,1034299.79,1016865.86,1.82E+12,1.90E+13
02-11-2020,1008973.5,1025270.24,1031586.08,989364.13,2.30E+12,1.87E+13
03-11-2020,1041555.27,1008970.64,1044144.62,991763.84,2.22E+12,1.93E+13
04-11-2020,1048590.33,1041569.24,1056543.9,1016294.61,2.62E+12,1.96E+13
05-11-2020,1155050.86,1048592.32,1164434.19,1046237.52,3.03E+12,2.14E+13
06-11-2020,1151581.75,1155042.02,1176536.34,1126938.38,2.95E+12,2.14E+13
07-11-2020,1097418.19,1151581.75,1164248.43,1067045.14,2.59E+12,2.03E+13
08-11-2020,1145147.39,1097418.19,1156866.94,1090786.21,1.97E+12,2.12E+13
09-11-2020,1133938.2,1145149.52,1167752.84,1101734.8,2.53E+12,2.10E+13
10-11-2020,1135889.29,1133940.77,1145966.29,1124124.86,1.89E+12,2.10E+13
11-11-2020,1170436.82,1135889.75,1185911.08,1135822.74,2.21E+12,2.16E+13
12-11-2020,1218894.71,1170433.79,1217627.55,1159283.17,2.55E+12,2.25E+13
13-11-2020,1216295.16,1218901.94,1229186.2,1191920.86,2.37E+12,2.27E+13
14-11-2020,1197685.32,1216295.17,1216295.17,1173911.77,2.05E+12,2.22E+13
15-11-2020,1189295.98,1197685.41,1201782.79,1177216.85,1.76E+12,2.20E+13
16-11-2020,1243985.47,1189295.2,1249956.18,1184542.58,2.35E+12,2.31E+13
17-11-2020,1315554.23,1241721.64,1323503.71,1232982.78,2.90E+12,2.44E+13
18-11-2020,1321773.83,1315538.18,1370303.82,1285986.7,3.66E+12,2.46E+13
19-11-2020,1320301.62,1321763.15,1343927.57,1290906.87,2.75E+12,2.45E+13
20-11-2020,1381006.02,1320301.13,1391527.17,1316624.01,2.74E+12,2.56E+13
21-11-2020,1382557.38,1381006.13,1404389.97,1367882.54,2.94E+12,2.56E+13
22-11-2020,1362157.38,1382557.4,1386023.48,1310556.73,3.06E+12,2.53E+13
23-11-2020,1363430.51,1362158.48,1385646.68,1334219.91,3.17E+12,2.53E+13
24-11-2020,1413212.91,1363496.82,1432861.36,1340972.17,3.82E+12,2.63E+13
25-11-2020,1382251.62,1412986.97,1432784.08,1371111.16,3.23E+12,2.57E+13
26-11-2020,1266291.42,1382083.37,1392131.93,1206936.17,4.53E+12,2.35E+13
27-11-2020,1264934.49,1266534.3,1288080.6,1223648.72,2.87E+12,2.34E+13
28-11-2020,1310423.42,1265269.61,1320521.08,1250753.31,2.41E+12,2.43E+13
29-11-2020,1344213.63,1310587.59,1352301.93,1298715.36,2.30E+12,2.50E+13
30-11-2020,1452322.49,1344275.65,1460409.84,1344275.65,3.53E+12,2.69E+13
01-12-2020,1385217.02,1452909.71,1461725.69,1349377.41,3.67E+12,2.58E+13
02-12-2020,1414407.1,1385124.58,1423786.8,1347149.99,2.75E+12,2.63E+13
03-12-2020,1437778.26,1414763.2,1444758.96,1397163.31,2.35E+12,2.66E+13
04-12-2020,1380015.59,1437894.19,1441099.79,1379825.73,2.50E+12,2.57E+13
05-12-2020,1413554.48,1379913.72,1414013.37,1371929.34,2.01E+12,2.62E+13
06-12-2020,1427727.5,1413550.75,1431076.6,1394637.18,1.87E+12,2.65E+13
07-12-2020,1416537.03,1427580.47,1432650.65,1397255.9,1.99E+12,2.63E+13
08-12-2020,1350741.91,1416529.51,1422506.56,1346952.68,2.34E+12,2.51E+13
09-12-2020,1369604.52,1350722.73,1374760.99,1319207.47,2.54E+12,2.54E+13
10-12-2020,1347820.27,1369559.07,1369559.07,1323462.66,1.89E+12,2.50E+13
11-12-2020,1331632.83,1347741.84,1348075.65,1300480,2.06E+12,2.47E+13
12-12-2020,1386549.69,1331073.65,1395095.54,1330684.36,1.60E+12,2.57E+13
13-12-2020,1411568.67,1386778.99,1429161.5,1381437.86,1.88E+12,2.62E+13
14-12-2020,1417556.79,1411724.25,1421661.3,1401962.02,1.66E+12,2.64E+13
15-12-2020,1427655.19,1417577.1,1434595.19,1405073.04,1.97E+12,2.66E+13
16-12-2020,1568584.8,1427783.3,1579503.49,1423360.9,3.27E+12,2.91E+13
17-12-2020,1676864.41,1568419.42,1737833.63,1563722.77,5.25E+12,3.12E+13
18-12-2020,1703118.18,1676984.63,1708066.24,1646619.38,2.97E+12,3.16E+13
19-12-2020,1756989.11,1702743.12,1772889.96,1680190.42,2.83E+12,3.26E+13
20-12-2020,1727846.05,1756395.38,1782002.86,1703835.88,2.79E+12,3.21E+13
21-12-2020,1685955.88,1727637.05,1773343.21,1631088.04,3.37E+12,3.12E+13
22-12-2020,1762833.75,1685287.37,1763343.28,1657446.62,3.27E+12,3.27E+13
23-12-2020,1716141.32,1762755.61,1772905.28,1683899.04,3.79E+12,3.20E+13
24-12-2020,1745972.65,1716057.05,1748355.11,1678731.66,3.03E+12,3.26E+13
25-12-2020,1814318.57,1745797.56,1817651.62,1726106.16,3.09E+12,3.37E+13
26-12-2020,1944683.39,1815217.88,1965355.94,1803865.77,3.56E+12,3.61E+13
27-12-2020,1936930.8,1944855.21,2089130.98,1914396.68,4.89E+12,3.59E+13
28-12-2020,1991956.23,1937559.45,2013748.86,1932164.12,3.62E+12,3.71E+13
29-12-2020,2009443.93,1991735.73,2010052.26,1907740.52,3.33E+12,3.74E+13
30-12-2020,2110859.29,2009271.58,2117999.49,2009271.58,3.77E+12,3.94E+13
31-12-2020,2118790.25,2110904.69,2140422.29,2058085.35,3.42E+12,3.95E+13
