Date,Open,High,Low,Close,Volume,Market Cap
16-12-2020,385.92,394.67,376.77,394.48,37386514521.00,350807287375.00
17-12-2020,394.48,421.30,389.16,392.94,63591661524.00,350266377921.00
18-12-2020,392.96,404.86,386.69,395.10,44662355681.00,351909374269.00
19-12-2020,395.05,409.79,389.21,392.98,38102614571.00,350462124100.00
20-12-2020,392.98,399.63,374.65,381.85,38232672714.00,340659491673.00
21-12-2020,381.84,398.78,353.74,361.58,48969277551.00,321250679681.00
22-12-2020,361.41,382.54,355.78,382.08,51552264914.00,340326931985.00
23-12-2020,382.06,383.11,341.11,347.83,49323506939.00,311882251442.00
24-12-2020,347.93,382.22,343.75,377.27,47738387650.00,338383763626.00
25-12-2020,377.19,387.80,371.02,383.55,37703364217.00,342767920793.00
26-12-2020,383.60,387.94,374.70,381.20,35671322909.00,340755963075.00
27-12-2020,381.18,398.38,364.28,378.67,57683527840.00,337805775217.00
28-12-2020,378.68,488.69,377.63,484.58,128770590481.00,434430753988.00
29-12-2020,484.13,558.65,455.07,552.20,199894525923.00,494795662481.00
30-12-2020,552.19,561.91,519.66,530.94,151210235441.00,476772689927.00
31-12-2020,530.67,688.94,524.77,678.89,201366103398.00,608811945554.00
01-01-2021,678.57,687.95,593.53,607.16,203918627530.00,543757776757.00
02-01-2021,607.07,713.48,580.59,673.09,222875257392.00,603307620219.00
03-01-2021,673.15,764.31,648.57,733.30,221680247884.00,657475640130.00
04-01-2021,735.41,765.52,640.86,692.13,211459926323.00,620666536613.00
05-01-2021,692.58,734.32,664.17,709.85,152080918877.00,636191608527.00
06-01-2021,710.25,758.26,694.22,738.45,174322200098.00,662881017750.00
07-01-2021,738.30,777.48,697.91,708.35,184417194359.00,633323816723.00
08-01-2021,708.39,717.59,650.55,682.95,172611807081.00,613829609802.00
09-01-2021,682.85,720.81,664.34,717.48,108514427506.00,644554298531.00
10-01-2021,717.44,733.38,642.28,682.58,117696657756.00,613525983391.00
11-01-2021,682.56,682.56,530.68,608.47,238484673365.00,545654078471.00
12-01-2021,608.17,631.67,584.56,604.49,141067035459.00,546321928067.00
13-01-2021,604.56,826.80,584.44,801.78,213273358823.00,721019855403.00
14-01-2021,801.06,1063.45,798.79,1062.67,395488118771.00,957265419433.00
15-01-2021,1061.46,1085.59,867.22,966.64,450210570921.00,869224210913.00
16-01-2021,965.59,1413.03,964.69,1329.54,652387058630.00,1198167190531.00
17-01-2021,1327.34,1327.34,1200.52,1242.33,445485323701.00,1119388290204.00
18-01-2021,1243.27,1324.35,1158.19,1208.57,284405550411.00,1089141455557.00
19-01-2021,1209.17,1279.54,1174.27,1205.37,249899725978.00,1087419163081.00
20-01-2021,1204.20,1322.01,1085.69,1308.64,338478184290.00,1185549837787.00
21-01-2021,1310.86,1316.78,1098.19,1163.26,353151907799.00,1049503940077.00
22-01-2021,1162.25,1312.57,1086.45,1252.77,218252624966.00,1130721504962.00
23-01-2021,1252.64,1369.01,1231.52,1357.66,207487448985.00,1226426278793.00
24-01-2021,1357.84,1366.88,1268.77,1313.90,204430794063.00,1187602050470.00
25-01-2021,1313.75,1390.03,1249.23,1258.78,244645547013.00,1138629730155.00
26-01-2021,1258.35,1296.62,1172.18,1248.23,188866267185.00,1130100497233.00
27-01-2021,1248.11,1248.11,1102.12,1132.47,216803512009.00,1023164230282.00
28-01-2021,1131.98,1275.45,1122.22,1235.95,216265952823.00,1120321302657.00
29-01-2021,1247.45,1286.84,1169.98,1227.88,266786506931.00,1112262999411.00
30-01-2021,1227.52,1243.08,1178.32,1203.47,145720407333.00,1089889935894.00
31-01-2021,1203.81,1272.67,1152.95,1175.41,185217984925.00,1064673773940.00
01-02-2021,1175.54,1207.69,1151.14,1197.40,162516505585.00,1081969701123.00
02-02-2021,1197.80,1283.61,1171.54,1258.80,194381148029.00,1144207906790.00
03-02-2021,1257.63,1510.62,1228.77,1510.62,341644004882.00,1370792816037.00
04-02-2021,1510.23,1571.59,1388.93,1437.99,354006762512.00,1302053522328.00
05-02-2021,1437.00,1550.41,1425.34,1521.47,247210510732.00,1384219169899.00
06-02-2021,1520.70,1550.27,1442.24,1484.55,190911706335.00,1347339488362.00
07-02-2021,1484.20,1512.36,1355.59,1440.88,221160552981.00,1308208499202.00
08-02-2021,1439.99,1721.77,1400.63,1679.72,344804984446.00,1522799352951.00
09-02-2021,1679.59,1753.38,1630.14,1685.15,251346247379.00,1532514481890.00
10-02-2021,1683.92,1804.91,1612.36,1717.17,306217633632.00,1561418854738.00
11-02-2021,1717.57,1861.06,1698.86,1834.49,295623021724.00,1666703661257.00
